"2014 rank";"City";"State[5]";"2014 estimate";"2010 Census";"Change";"2014 land area";"2010 population density";"Location"
83;"Madison";"Wisconsin";245691;233209;5.35%;"76.8 sq mi
198.9 km2";"3,037 per sq mi
1,173 km−2";"43.0878°N 89.4301°W"
84;"Norfolk[15]";"Virginia";245428;242803;1.08%;"54.1 sq mi
140.2 km2";"4,486 per sq mi
1,732 km−2";"36.9230°N 76.2446°W"
85;"Lubbock";"Texas";243839;229573;6.21%;"122.4 sq mi
317.0 km2";"1,875 per sq mi
724 km−2";"33.5665°N 101.8867°W"
86;"Gilbert[20]";"Arizona";239277;208453;14.79%;"68.0 sq mi
176.0 km2";"3,067 per sq mi
1,184 km−2";"33.3102°N 111.7422°W"
87;"Winston–Salem";"North Carolina";239269;229617;4.20%;"132.4 sq mi
343.0 km2";"1,734 per sq mi
669 km−2";"36.1033°N 80.2606°W"
88;"Glendale";"Arizona";237517;226721;4.76%;"60.0 sq mi
155.3 km2";"3,780 per sq mi
1,460 km−2";"33.5331°N 112.1899°W"
89;"Reno";"Nevada";236995;225221;5.23%;"103.0 sq mi
266.8 km2";"2,186 per sq mi
844 km−2";"39.4745°N 119.7765°W"
90;"Hialeah";"Florida";235563;224669;4.85%;"21.5 sq mi
55.6 km2";"10,474 per sq mi
4,044 km−2";"25.8699°N 80.3029°W"
91;"Garland";"Texas";235501;226876;3.80%;"57.1 sq mi
147.8 km2";"3,974 per sq mi
1,535 km−2";"32.9098°N 96.6304°W"
92;"Chesapeake[15]";"Virginia";233371;222209;5.02%;"340.8 sq mi
882.7 km2";"652 per sq mi
252 km−2";"36.6794°N 76.3018°W"
93;"Irving";"Texas";232406;216290;7.45%;"67.0 sq mi
173.6 km2";"3,227 per sq mi
1,246 km−2";"32.8577°N 96.9700°W"
94;"North Las Vegas";"Nevada";230788;216961;6.37%;"101.3 sq mi
262.5 km2";"2,141 per sq mi
827 km−2";"36.2830°N 115.0893°W"
95;"Scottsdale";"Arizona";230512;217385;6.04%;"183.9 sq mi
476.4 km2";"1,182 per sq mi
456 km−2";"33.6687°N 111.8237°W"
96;"Baton Rouge[21]";"Louisiana";228895;229493;"−0.26%";"76.9 sq mi
199.3 km2";"2,982 per sq mi
1,152 km−2";"30.4485°N 91.1259°W"
97;"Fremont";"California";228758;214089;6.85%;"77.5 sq mi
200.6 km2";"2,764 per sq mi
1,067 km−2";"37.4944°N 121.9411°W"
98;"Richmond[15]";"Virginia";217853;204214;6.68%;"59.8 sq mi
154.9 km2";"3,415 per sq mi
1,318 km−2";"37.5314°N 77.4760°W"
99;"Boise[22]";"Idaho";216282;205671;5.16%;"79.4 sq mi
205.56 km2";"2,592 per sq mi
1,001 km−2";"43.5985°N 116.2311°W"
100;"San Bernardino";"California";215213;209924;2.52%;"59.2 sq mi
153.3 km2";"3,546 per sq mi
1,369 km−2";"34.1393°N 117.2953°W"
101;"Birmingham";"Alabama";212247;212237;0.00%;"146.1 sq mi
378.3 km2";"1,453 per sq mi
561 km−2";"33.5274°N 86.7990°W"
102;"Spokane";"Washington";212052;208916;1.50%;"59.2 sq mi
153.4 km2";"3,526 per sq mi
1,361 km−2";"47.6736°N 117.4166°W"
103;"Rochester";"New York";209983;210565;"−0.28%";"35.8 sq mi
92.7 km2";"5,885 per sq mi
2,272 km−2";"43.1699°N 77.6169°W"
104;"Modesto";"California";209286;201165;4.04%;"36.9 sq mi
95.5 km2";"5,456 per sq mi
2,107 km−2";"37.6609°N 120.9891°W"
105;"Des Moines";"Iowa";209220;203433;2.84%;"80.9 sq mi
209.5 km2";"2,516 per sq mi
971 km−2";"41.5739°N 93.6167°W"
106;"Oxnard";"California";205437;197899;3.81%;"26.9 sq mi
69.7 km2";"7,358 per sq mi
2,841 km−2";"34.2023°N 119.2046°W"
